word,normalized
pemindahan,pemindahan
pemuda,pemuda
poll,pemungutan suara
pendengar,pendengar
pendukung,pendukung
penerus,penerus
pengadaan,pengadaan
berpengalaman,pengalaman
pengalaman,pengalaman
pengawasan,pengawasan
pengetahuan,pengetahuan
awardingnya,penghargaan
penghiburan,penghiburan
timer,penghitung waktu
pengisi,pengisi
pengisian,pengisian
penjelasannya,penjelasan
ngejelasinnya,penjelasan
penjelasan,penjelasan
penonton,penonton
penoton,penonton
pentingnya,penting
penting,penting
penuh,penuh
full,penuh
penyampaian,penyampaian
penyampaianya,penyampaian
penyelenggara,penyelenggara
host,penyelenggara
panitiaa,penyelenggara
pelaksana,penyelenggara
peran,peran
device,perangkat
perantaraan,perantara
dperbaiki,perbaiki
diperbaikan,perbaiki
diperbaiki,perbaiki
perbagus,perbaiki
perbaiki,perbaiki
perbincangan,perbincangan
performa,performa
pergantian,pergantian
diperhatikan,perhatikan
memperhatikan,perhatikan
perhatikan,perhatikan
perkembangan,perkembangan
perlu,perlu
icebreaking,permainan
games,permainan
gamesnya,permainan
game,permainan
perpanjang,perpanjang
persaudaraan,persaudaraan
persiapan,persiapan
pertahanankan,pertahankan
pertahankan,pertahankan
pertama,pertama
pertanyaanpertanyaan,pertanyaan
pertanyaan,pertanyaan
meet,pertemuan
dipertemuan,pertemuan
pesan,pesan
pesertanya,peserta
peserta,peserta
pasticipant,peserta
pihak,pihak
pikiran,pikiran
dipilih,pilih
pintar,pintar
platform,platform
pokoknya,pokoknya
pokonyy,pokoknya
pol,banget
positif,positif
potensi,potensi
powerpoint,ppt
ppt,ppt
dipresentasikan,presentasi
pribadi,pribadi
produktif,produktif
dipromosikan,promosi
promosi,promosi
pujian,pujian
pukul,pukul
pula,pula
pun,pun
memiliki,punya
putusputus,putus
terputus,putus
putus,putus
terputusputus,putus
rada,rada
ramah,ramah
rangkaian,rangkaian
rapi,rapi
rapih,rapi
rasa,rasa
relasi,relasi
relatable,relevan
relevan,relevan
rendah,rendah
ratarata,rerata
revolusi,revolusi
rinci,rinci
room,ruang
saat,saat
kesadaran,sadar
saja,saja
aja,saja
salah,salah
menyalahkan,salah
salam,salam
salat,salat
sama,sama
samaan,sama
sambutannya,sambutan
sampai,sampai
sampaikan,sampai
sangat,sangat
sanagt,sangat
sanagat,sangat
sangatlah,sangat
santai,santai
saran,saran
sarankan,saran
disarankan,saran
sarannya,saran
se,satu
satu,satu
saya,saya
aku,saya
sebab,sebab
sebagai,sebagai
sebagainya,sebagainya
sebaikanya,sebaiknya
sebaiknya,sebaiknya
baiknya,sebaiknya
sebelum,sebelum
sebelumnya,sebelum
menyebutkan,sebut
secara,secara
sederhana,sederhana
disediakan,sedia
sedikit,sedikit
sdikit,sedikit
dikit,sedikit
fresh,segar
segera,segera
segi,segi
segini,segini
seharusnya,seharusnya
sehat,sehat
sehingga,sehingga
sejak,sejak
sejauh,jauh
banget,sekali
sekali,sekali
sekalipun,sekalipun
sekarang,sekarang
sekedar,sekedar
sekian,sekian
sekitar,sekitar
selain,selain
selalu,selalu
selama,selama
selanjuttnya,selanjutnya
selanjutnya,selanjutnya
diselenggarakan,selenggara
selesai,selesai
selingan,selingan
diselingi,selingan
seluruh,seluruh
keseluruhan,seluruh
overall,seluruh
seindonesia,seluruh Indonesia
semacam,semacam
semakin,semakin
makin,semakin
bersemangat,semangat
semangat,semangat
sementara,sementara
seminarnya,seminar
seminar,seminar
semoga,semoga
semogaa,semoga
semogo,semoga
mudahan,semoga
sempat,sempat
sempurna,sempurna
semuanya,semua
semua,semua
seneng,senang
senang,senang
menyenangkan,senang
sendiri,sendiri
senggang,senggang
seorang,seorang
seperti,seperti
sepertinya,seperti
diserap,serap
menyerap,serap
sering,sering
seringsering,sering
serius,serius
serta,serta
sertifikat,sertifikat
keseruan,seru
seruu,seru
seru,seru
serupa,serupa
sesi,sesi
sesuai,sesuai
sesuatu,sesuatu
set,setengah
seterusnya,seterusnya
setiap,setiap
tiap,setiap
siang,siang
dipersiapkan,siap
disiapkan,siap
siap,siap
kesiapan,siap
persiapkan,siap
kesiapannya,siap
mempersiapkan,siap
streamin,siaran langsung
si,sih
sii,sih
sih,sih
pembawaannya,sikap
sikap,sikap
silaturahim,silaturahim
sinyalnya,sinyal
sinyal,sinyal
signalnya,sinyal
sisanya,sisa
slot,slot
snap,snap
soal,soal
soalnya,soal
solusi,solusi
dipersore,sore
sore,sore
spesifik,spesifik
sponsor,sponsor
progate,sponsor
menstabilkan,stabil
stabilkan,stabil
kestabilan,stabil
stabil,stabil
suara,suara
sound,suara
suaranya,suara
situasi,suasana
suasana,suasana
vibes,suasana
suasananya,suasana
suatu,suatu
sudahh,sudah
dah,sudah
dahh,sudah
sudh,sudah
sudah,sudah
udaa,sudah
udah,sudah
suka,suka
suksess,sukses
sukses,sukses
sulit,sulit
sumber,sumber
sungguh,sungguh
sipaya,supaya
supaya,supaya
susunan,susunan
rundown,susunan
tadi,tadi
tau,tahu
mengetahui,tahu
ditahun,tahun
ditahuntahun,tahun
tahun,tahun
tahuntahun,tahun
tahunnya,tahun
tahunan,tahunan
tali,tali
talkshownya,talkshow
talkshow,talkshow
nambah,tambah
tambah,tambah
ditambahkannya,tambah
ditambahkan,tambah
ditambah,tambah
menambahkan,tambah
tambahkan,tambah
menambah,tambah
tambahin,tambah
tambahan,tambahan
menampilkan,tampil
tampilan,tampilan
tamu,tamu
tamutamu,tamu
responsible,tanggung jawab
tanpa,tanpa
tanya,tanya
bertanya,tanya
tp,tapi
but,tapi
bertaraf,taraf
tata,tata
tatanan,tatanan
tatap,tatap
link,tautan
disiarkan,tayang
tegaskan,tegas
teknis,teknis
teknologi,teknologi
it,teknologi informasi
telah,telah
tema,tema
temanya,tema
temanteman,teman
tempat,tempat
tenaga,tenaga
tengah,tengah
tentang,tentang
menentukan,tentu
teorinya,teori
tepat,tepat
ontime,tepat waktu
terasa,terasa
best,terbaik
terbantu,terbantu
keterbatasan,terbatas
terdapat,terdapat
terhadap,terhadap
terestaet,terhenti
freze,terhenti
freeze,terhenti
terima,terima
makasih,terima kasih
terimakasih,terima kasih
trimakasi,terima kasih
makasi,terima kasih
thank,terima kasih
thanks,terima kasih
thx,terima kasih
terjadi,terjadi
terjdai,terjadi
kadang,terkadang
terkadang,terkadang
terkait,terkait
terkenal,terkenal
terkesan,terkesan
terkini,terkini
terkooridinir,terkoordinir
terlaksanakan,terlaksana
terjalan,terlaksana
berjalan,terlaksana
terlaksana,terlaksana
terlalu,terlalu
delay,terlambat
ngaret,terlambat
telat,terlambat
molor,terlambat
terlambat,terlambat
terlebih,terlebih
terlibat,terlibat
terlihat,terlihat
tersampaikan,tersampaikan
tersebut,tersebut
terselenggara,terselenggara
terstruktur,terstruktur
tersusun,tersusun
tertarik,tertarik
tertata,tertata
tertib,tertib
terus,terus
terutama,terutama
tetep,tetap
tetap,tetap
